iteration,iteration_started_at,sample_started_at,pair,pair_key,hops,src_node,dst_node,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.906554,R3-R6,r3_r6,3,r3,r6,10.0.56.2,10,True,29.286482,0.033,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.945928,R3-R6,r3_r6,3,r3,r6,10.0.56.2,11,True,30.60165,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.987081,R3-R6,r3_r6,3,r3,r6,10.0.56.2,12,True,33.184653,0.045,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.031163,R3-R6,r3_r6,3,r3,r6,10.0.56.2,13,True,28.112691,0.189,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.069946,R3-R6,r3_r6,3,r3,r6,10.0.56.2,14,True,29.087897,0.035,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.109228,R3-R6,r3_r6,3,r3,r6,10.0.56.2,15,True,27.197961,0.044,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.147656,R3-R6,r3_r6,3,r3,r6,10.0.56.2,16,True,27.444088,0.223,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.185497,R3-R6,r3_r6,3,r3,r6,10.0.56.2,17,True,28.176008,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.223827,R3-R6,r3_r6,3,r3,r6,10.0.56.2,18,True,35.909996,0.037,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.270031,R3-R6,r3_r6,3,r3,r6,10.0.56.2,19,True,37.830819,0.033,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.323231,R3-R6,r3_r6,3,r3,r6,10.0.56.2,20,True,30.355962,0.05,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:18.364563,R3-R6,r3_r6,3,r3,r6,10.0.56.2,21,True,27.531759,0.046,0.0
